char,pinyin,radical,stroke,wuxing,tone
表,biǎo,一,8,水,3
规,guī,见,8,木,1
抹,"mǒ,mò,mā",扌,8,水,3
卦,guà,卜,8,水,4
坷,"kē,kě",土,8,土,3
坯,pī,土,8,土,1
拓,"tuò,tà,zhí",扌,8,火,4
拢,lǒng,扌,8,火,3
拔,bá,扌,8,水,2
坪,píng,土,8,土,2
拣,jiǎn,扌,8,木,3
坦,tǎn,土,8,土,3
担,"dān,dàn,dǎn",扌,8,火,1
坤,kūn,土,8,土,1
押,yā,扌,8,土,1
抽,chōu,扌,8,火,1
拐,guǎi,扌,8,火,3
拖,tuō,扌,8,火,1
者,zhě,耂,8,火,3
拍,pāi,扌,8,水,1
顶,dǐng,页,8,火,3
拆,"chāi,cā",扌,8,金,1
拎,līn,扌,8,火,1
拥,yōng,扌,8,土,1
抵,dǐ,扌,8,火,3
拘,"jū,gōu",扌,8,木,1
势,shì,力,8,金,4
抱,bào,扌,8,水,4
拄,zhǔ,扌,8,金,3
垃,lā,土,8,土,1
拉,"lā,lá,lǎ,là",扌,8,火,1
拦,lán,扌,8,木,2
幸,xìng,土,8,水,4
拌,"bàn,pàn",扌,8,水,4
拧,"nǐng,níng,nìng",扌,8,金,3
拂,"fú,bì",扌,8,水,2
拙,zhuō,扌,8,金,1
招,zhāo,扌,8,火,1
坡,pō,土,8,土,1
披,pī,扌,8,水,1
拨,bō,扌,8,水,1
择,"zé,zhái",扌,8,火,2
抬,tái,扌,8,火,2
拇,mǔ,扌,8,水,3
拗,"niù,ào,ǎo",扌,8,土,4
其,"qí,jī",八,8,木,2
取,qǔ,耳,8,金,3
茉,mò,艹,8,木,4
苦,kǔ,艹,8,木,3
昔,xī,日,8,金,1
苛,"kē,hē",艹,8,木,1
若,"ruò,rě",艹,8,木,4
茂,mào,艹,8,木,4
苹,"píng,pēng",艹,8,木,2
苗,miáo,艹,8,水,2
英,yīng,艹,8,木,1
苟,gǒu,艹,8,木,3
苑,yuàn,艹,8,木,4
苞,bāo,艹,8,木,1
范,fàn,艹,8,水,4
直,zhí,十,8,火,2
茁,zhuó,艹,8,木,2
茄,"qié,jiā",艹,8,木,2
茎,jīng,艹,8,木,1
苔,"tái,tāi",艹,8,木,2
茅,máo,艹,8,木,2
枉,wǎng,木,8,木,3
林,lín,木,8,木,2
枝,"zhī,qí",木,8,木,1
杯,bēi,木,8,木,1
枢,shū,木,8,木,1
柜,"guì,jǔ",木,8,木,3
枚,méi,木,8,木,2
析,xī,木,8,木,1
板,bǎn,木,8,木,3
松,sōng,木,8,木,1
枪,qiāng,木,8,木,1
枫,fēng,木,8,木,1
构,gòu,木,8,木,4
杭,háng,木,8,木,2
杰,jié,木,8,木,2
述,shù,辶,8,金,4
枕,zhěn,木,8,木,3
丧,"sàng,sāng",十,8,金,1
或,huò,戈,8,水,4
画,huà,一,8,土,4
卧,wò,臣,8,木,4
事,shì,一,8,金,4
刺,"cì,cī",刂,8,金,4
枣,zǎo,木,8,金,3
雨,"yǔ,yù",雨,8,水,3
卖,mài,十,8,水,4
郁,yù,阝,8,水,4
矾,fán,石,8,土,2
矿,kuàng,石,8,土,4
码,mǎ,石,8,水,3
厕,cè,厂,8,金,4
奈,nài,大,8,火,4
奔,"bēn,bèn",大,8,水,1
奇,"qí,jī",大,8,木,2
奋,fèn,大,8,水,4
态,tài,心,8,火,4
欧,ōu,欠,8,土,1
殴,ōu,殳,8,土,1
垄,lǒng,土,8,土,3
妻,"qī,qì",女,8,金,1
轰,hōng,车,8,水,1
顷,qǐng,页,8,木,3
转,"zhuǎn,zhuàn,zhuǎi",车,8,火,3
斩,zhǎn,斤,8,火,3
轮,lún,车,8,火,2
软,ruǎn,车,8,火,3
到,dào,至,8,火,4
非,fēi,非,8,水,1
叔,shū,又,8,金,1
歧,qí,止,8,木,2
肯,kěn,止,8,木,3
齿,chǐ,齿,8,火,3
些,xiē,止,8,金,1
卓,zhuó,十,8,火,2
虎,hǔ,虎,8,水,3
虏,lǔ,虍,8,火,3
肾,shèn,月,8,金,4
贤,xián,贝,8,木,2
尚,shàng,⺌,8,金,4
旺,wàng,日,8,土,4
具,jù,八,8,木,4
味,wèi,口,8,水,4
果,guǒ,丨、木,8,木,3
昆,kūn,日,8,火,1
国,guó,囗,8,木,2
哎,āi,口,8,火,1
咕,gū,口,8,木,1
昌,chāng,日,8,金,1
呵,"hē,ā,á,ǎ,à,a,kē",口,8,水,1
畅,chàng,丨,8,火,4
明,míng,日,8,水,2
易,yì,日,8,火,4
咙,lóng,口,8,火,2
昂,áng,日,8,木,2
迪,dí,辶,8,火,2
典,diǎn,八,8,火,3
固,gù,囗,8,木,4
忠,zhōng,心,8,火,1
呻,shēn,口,8,金,1
咒,zhòu,几,8,金,4
咋,"zǎ,zé,zhā",口,8,金,3
咐,fù,口,8,水,4
呼,hū,口,8,水,1
鸣,míng,口,8,水,2
咏,yǒng,口,8,土,3
呢,"ne,ní",口,8,木,2
咄,duō,口,8,火,1
咖,"kā,gā",口,8,木,1
岸,àn,山,8,水,4
岩,yán,山,8,土,2
帖,"tiē,tiě,tiè",巾,8,火,1
罗,luó,罒,8,火,2
帜,zhì,巾,8,金,4
帕,pà,巾,8,土,4
岭,lǐng,山,8,土,3
凯,kǎi,几,8,木,3
败,bài,贝,8,水,4
账,zhàng,贝,8,火,4
贩,fàn,贝,8,水,4
贬,biǎn,贝,8,水,3
购,gòu,贝,8,木,4
贮,zhù,贝,8,金,4
图,tú,囗,8,火,2
钓,diào,钅,8,金,4
制,zhì,刂,8,火,4
知,"zhī,zhì",矢,8,火,1
迭,dié,辶,8,木,2
氛,fēn,气,8,水,1
垂,chuí,丿,8,金,2
牧,mù,牜,8,水,4
物,wù,牜,8,水,4
乖,guāi,丿,8,木,1
刮,guā,舌,8,金,1
秆,gǎn,禾,8,木,3
和,"hé,hè,huò,huó,hú",禾,8,水,2
季,jì,禾,8,木,4
委,"wěi,wēi",禾,8,土,3
秉,bǐng,丿,8,水,3
佳,jiā,亻,8,木,1
侍,shì,亻,8,火,4
岳,yuè,山,8,木,4
供,"gòng,gōng",亻,8,木,1
使,shǐ,亻,8,金,3
例,lì,亻,8,火,4
侠,xiá,亻,8,木,2
侥,"yáo,jiǎo",亻,8,木,3
版,bǎn,片,8,水,3
侄,zhí,亻,8,金,2
侦,zhēn,亻,8,火,1
侣,lǚ,亻,8,火,3
侧,"cè,zè,zhāi",亻,8,金,4
凭,píng,几,8,金,2
侨,qiáo,亻,8,木,2
佩,pèi,亻,8,水,4
货,huò,贝,8,水,4
侈,chǐ,亻,8,火,3
依,yī,亻,8,土,1
卑,bēi,十,8,水,1
的,"de,dí,dì,dī",白,8,火,5
迫,"pò,pǎi",辶,8,水,4
质,zhì,⺁,8,火,4
欣,xīn,斤,8,木,1
征,zhēng,彳,8,火,1
往,wǎng,彳,8,土,3
爬,pá,爪,8,土,2
彼,bǐ,彳,8,水,3
径,jìng,彳,8,木,4
所,suǒ,户,8,金,3
舍,"shè,shě",人,8,金,4
金,jīn,金,8,金,1
刹,"shā,chà",刂,8,金,4
命,mìng,人,8,水,4
肴,yáo,月,8,土,2
斧,fǔ,父,8,木,3
爸,bà,父,8,水,4
采,"cǎi,cài",爫,8,火,3
觅,mì,爫,8,水,4
受,shòu,又,8,金,4
乳,rǔ,爫、乚,8,火,3
贪,tān,贝,8,火,1
念,niàn,人,8,火,4
贫,pín,贝,8,水,2
忿,fèn,心,8,水,4
肤,fū,月,8,水,1
肺,fèi,月,8,金,4
肢,zhī,月,8,火,1
肿,zhǒng,月,8,火,3
胀,zhàng,月,8,火,4
朋,péng,月,8,水,2
股,gǔ,月,8,木,3
肮,āng,月,8,土,1
肪,fáng,月,8,水,2
肥,féi,月,8,水,2
服,"fú,fù",月,8,水,2
胁,xié,月,8,水,2
周,zhōu,冂,8,金,1
昏,hūn,氏,8,木,1
鱼,yú,鱼,8,水,2
兔,tù,⺈,8,金,4
狐,hú,犭,8,水,2
忽,hū,心,8,木,1
狗,gǒu,犭,8,木,3
狞,níng,犭,8,金,2
备,bèi,夂,8,水,4
饰,shì,饣,8,火,4
饱,bǎo,饣,8,水,3
饲,sì,饣,8,水,4
变,biàn,又,8,水,4
京,jīng,亠,8,木,1
享,xiǎng,亠,8,水,3
庞,páng,广,8,火,2
店,diàn,广,8,火,4
夜,yè,亠,8,土,4
庙,miào,广,8,水,4
府,fǔ,广,8,水,3
底,"dǐ,de",广,8,火,3
疟,"nüè,yào",疒,8,火,4
疙,"gē,yì",疒,8,木,1
疚,jiù,疒,8,木,4
剂,jì,刂,8,木,4
卒,"zú,cù",亠,8,金,2
郊,jiāo,阝,8,木,1
庚,gēng,广,8,金,1
废,fèi,广,8,土,4
净,"jìng,chēng",冫,8,金,4
盲,máng,目,8,水,2
放,fàng,攵,8,水,4
刻,kè,刂,8,金,4
育,"yù,yō",月,8,土,4
氓,"méng,máng",亠,8,水,2
闸,zhá,门,8,金,2
闹,nào,门,8,火,4
郑,zhèng,阝,8,火,4
券,"quàn,xuàn",刀,8,木,4
卷,"juàn,juǎn",㔾,8,木,3
单,"dān,chán,shàn",丷,8,火,1
炬,jù,火,8,水,4
炒,chǎo,火,8,火,3
炊,chuī,火,8,火,1
炕,kàng,火,8,火,4
炎,yán,火,8,火,2
炉,lú,火,8,火,2
沫,mò,氵,8,水,4
浅,"qiǎn,jiān",氵,8,水,3
法,fǎ,氵,8,水,3
泄,"xiè,yì",氵,8,水,4
沽,gū,氵,8,水,1
河,hé,氵,8,水,2
沾,zhān,氵,8,水,1
泪,lèi,氵,8,水,4
沮,"jǔ,jù",氵,8,水,3
油,yóu,氵,8,水,2
泊,"bó,pō",氵,8,水,2
沿,yán,氵,8,水,2
泡,"pào,pāo",氵,8,水,4
注,zhù,氵,8,水,4
泣,qì,氵,8,水,4
泞,nìng,氵,8,水,4
泻,xiè,氵,8,水,4
泌,"mì,bì",氵,8,水,4
泳,yǒng,氵,8,水,3
泥,"ní,nì",氵,8,水,2
沸,fèi,氵,8,水,4
沼,zhǎo,氵,8,水,3
波,bō,氵,8,水,1
泼,pō,氵,8,水,1
泽,"zé,shì",氵,8,水,2
治,zhì,氵,8,水,4
怔,"zhēng,zhèng",忄,8,金,1
怯,qiè,忄,8,金,4
怖,bù,忄,8,水,4
性,xìng,忄,8,金,4
怕,pà,忄,8,土,4
怜,lián,忄,8,火,2
怪,guài,忄,8,金,4
怡,yí,忄,8,土,2
学,xué,子,8,水,2
宝,bǎo,宀,8,火,3
宗,zōng,宀,8,金,1
定,dìng,宀,8,火,4
宠,chǒng,宀,8,金,3
宜,yí,宀,8,木,2
审,shěn,宀,8,金,3
宙,zhòu,宀,8,金,4
官,guān,宀,8,木,1
空,"kōng,kòng,kǒng",穴,8,木,1
帘,lián,穴,8,火,2
宛,"wǎn,yuān",宀,8,土,3
实,shí,宀,8,金,2
试,shì,讠,8,金,4
郎,"láng,làng",阝,8,火,2
诗,shī,讠,8,金,1
肩,jiān,户,8,木,1
房,fáng,户,8,水,2
诚,chéng,讠,8,金,2
衬,chèn,衤,8,金,4
衫,shān,衤,8,金,1
视,shì,礻,8,金,4
祈,qí,礻,8,木,2
话,huà,讠,8,土,4
诞,dàn,讠,8,土,4
诡,guǐ,讠,8,木,3
询,xún,讠,8,金,2
该,gāi,讠,8,木,1
详,"xiáng,yáng",讠,8,金,2
建,jiàn,廴,8,木,4
肃,sù,肀,8,金,4
录,lù,彐,8,火,4
隶,lì,隶,8,火,4
帚,zhǒu,彐,8,金,3
屉,tì,尸,8,火,4
居,jū,尸,8,木,1
届,jiè,尸,8,木,4
刷,"shuā,shuà",刂,8,金,1
屈,qū,尸,8,木,1
弧,hú,弓,8,水,2
弥,"mí,mǐ",弓,8,水,2
弦,xián,弓,8,水,2
承,chéng,乛,8,金,2
孟,mèng,子,8,水,4
陋,lòu,阝,8,火,4
陌,mò,阝,8,水,4
孤,gū,子,8,木,1
陕,shǎn,阝,8,金,3
降,"jiàng,xiáng",阝,8,木,4
函,hán,凵,8,水,2
限,xiàn,阝,8,金,4
妹,mèi,女,8,水,4
姑,gū,女,8,木,1
姐,jiě,女,8,火,3
姓,xìng,女,8,金,4
妮,nī,女,8,火,1
始,shǐ,女,8,金,3
姆,mǔ,女,8,水,3
迢,tiáo,辶,8,火,2
驾,jià,马,8,木,4
叁,sān,厶,8,金,1
参,"cān,shēn,cēn,sān",厶,8,金,1
艰,jiān,又,8,木,1
线,xiàn,纟,8,金,4
练,liàn,纟,8,火,4
组,zǔ,纟,8,金,3
绅,shēn,纟,8,金,1
细,xì,纟,8,金,4
驶,shǐ,马,8,金,3
织,"zhī,zhì",纟,8,金,1
驹,jū,马,8,木,1
终,zhōng,纟,8,金,1
驻,zhù,马,8,火,4
绊,bàn,纟,8,水,4
驼,tuó,马,8,火,2
绍,shào,纟,8,金,4
绎,yì,纟,8,火,4
经,"jīng,jìng",纟,8,木,1
贯,guàn,贝,8,木,4
契,"qì,qiè,xiè",大,9,木,4
贰,èr,贝,9,金,4
奏,zòu,一、大,9,火,4
春,chūn,日,9,金,1
帮,bāng,巾,9,水,1
玷,diàn,王,9,火,4
珍,zhēn,王,9,火,1
玲,líng,王,9,火,2
珊,shān,王,9,金,1
玻,bō,王,9,水,1
毒,"dú,dài",母,9,金,2
型,xíng,土,9,土,2
挂,guà,扌,9,木,4
封,fēng,寸,9,水,1
持,chí,扌,9,金,2
拷,kǎo,扌,9,木,3
拱,gǒng,扌,9,木,3
项,xiàng,工,9,水,4
垮,kuǎ,土,9,土,3
挎,"kuà,kū",扌,9,木,4
城,chéng,土,9,土,2
挟,"jiā,xié",扌,9,水,2
挠,náo,扌,9,火,2
政,zhèng,攵,9,火,4
赴,fù,走,9,火,4
赵,zhào,走,9,火,4
挡,"dǎng,dàng",扌,9,火,3
拽,"zhuài,zhuāi,yè",扌,9,金,4
哉,zāi,口,9,金,1
挺,tǐng,扌,9,火,3
括,"kuò,guā",扌,9,木,4
垢,gòu,土,9,土,4
拴,shuān,扌,9,金,1
拾,"shí,shè",扌,9,金,2
挑,"tiāo,tiǎo",扌,9,火,3
垛,"duǒ,duò",土,9,土,3
指,zhǐ,扌,9,金,3
垫,diàn,土,9,土,4
挣,"zhèng,zhēng",扌,9,金,1
挤,jǐ,扌,9,木,3
拼,pīn,扌,9,水,1
挖,wā,扌,9,火,1
按,àn,扌,9,土,4
挥,huī,扌,9,水,1
挪,nuó,扌,9,火,2
拯,zhěng,扌,9,金,3
某,mǒu,甘,9,水,3
甚,"shèn,shén",一,9,金,4
荆,jīng,刂,9,水,1
茸,róng,艹,9,木,2
革,"gé,jí",革,9,木,2
茬,chá,艹,9,木,2
荐,jiàn,艹,9,木,4
巷,"xiàng,hàng",巳,9,水,4
带,dài,巾,9,火,4
草,cǎo,艹,9,木,3
茧,jiǎn,艹,9,木,3
茵,yīn,艹,9,木,1
茶,chá,艹,9,木,2
荒,huāng,艹,9,木,1
茫,máng,艹,9,水,2
荡,dàng,艹,9,水,4
荣,róng,艹,9,木,2
荤,hūn,艹,9,木,1
荧,yíng,艹,9,火,2
故,gù,攵,9,木,4
胡,hú,月,9,土,2
荫,"yìn,yīn",艹,9,木,4
荔,lì,艹,9,木,4
南,"nán,nā",十,9,火,2
药,yào,艹,9,木,4
标,biāo,木,9,木,1
栈,zhàn,木,9,木,4
柑,gān,木,9,木,1
枯,kū,木,9,金,1
柄,bǐng,木,9,木,3
栋,dòng,木,9,木,4
相,"xiāng,xiàng",木,9,木,1
查,"zhā,chá",木,9,金,2
柏,"bǎi,bó,bò",木,9,木,2
栅,"shān,zhà,shi,cè",木,9,木,4
柳,liǔ,木,9,木,3
柱,zhù,木,9,木,4
柿,shì,木,9,木,4
栏,lán,木,9,木,2
柠,níng,木,9,木,2
树,shù,木,9,木,4
勃,bó,力,9,水,2
要,"yào,yāo",覀,9,土,4
柬,jiǎn,木,9,火,3
咸,xián,戈,9,水,2
威,wēi,戈,9,土,1
歪,wāi,一,9,火,1
研,"yán,yàn",石,9,木,2
砖,zhuān,石,9,土,1
厘,lí,厂,9,火,2
厚,hòu,厂,9,水,4
砌,"qì,qiè",石,9,土,4
砂,shā,石,9,金,1
泵,bèng,石,9,水,4
砚,yàn,石,9,土,4
砍,kǎn,石,9,土,3
面,miàn,面,9,木,4
耐,nài,而,9,火,4
耍,shuǎ,而,9,金,3
牵,qiān,大,9,土,1
鸥,ōu,鸟,9,土,1
残,cán,歹,9,金,2
殃,yāng,歹,9,火,1
轴,"zhóu,zhòu",车,9,火,2
轻,qīng,车,9,木,1
鸦,yā,牙,9,土,1
皆,jiē,比,9,木,1
韭,jiǔ,韭,9,木,3
背,"bèi,bēi",NULL,9,水,4
战,zhàn,戈,9,金,4
点,diǎn,灬,9,水,3
虐,nüè,虍,9,火,4
临,lín,丨,9,火,2
览,lǎn,见,9,火,3
竖,shù,立,9,木,4
省,"shěng,xǐng",目,9,金,3
削,"xuē,xiāo",刂,9,金,1
尝,cháng,⺌,9,木,2
昧,mèi,日,9,水,4
盹,dǔn,目,9,火,3
是,shì,日,9,金,4
盼,pàn,目,9,水,4
眨,zhǎ,目,9,金,3
哇,"wā,wa",口,9,土,1
哄,"hǒng,hōng,hòng",口,9,木,1
哑,"yǎ,yā",口,9,土,1
显,xiǎn,日,9,火,3
冒,"mào,mò",曰,9,水,4
映,yìng,日,9,火,4
星,xīng,日,9,金,1
昨,zuó,日,9,金,2
咧,"liē,liě,lie,lié",口,9,火,3
昭,zhāo,日,9,火,1
畏,wèi,田,9,土,4
趴,pā,⻊,9,土,1
胃,wèi,田,9,土,4
贵,guì,贝,9,木,4
界,jiè,田,9,木,4
虹,"hóng,jiàng",虫,9,木,2
虾,"xiā,há",虫,9,水,1
蚁,yǐ,虫,9,木,3
思,"sī,sāi",田,9,金,1
蚂,"mǎ,mà,mā",虫,9,水,3
虽,suī,口,9,金,1
品,pǐn,口,9,水,3
咽,"yān,yàn,yè",口,9,土,1
骂,mà,马,9,水,4
勋,xūn,力,9,土,1
哗,"huá,huā",口,9,水,1
咱,"zán,zá,zǎ,zan",口,9,金,2
响,xiǎng,口,9,水,3
哈,"hā,hǎ,hà",口,9,水,1
哆,duō,口,9,火,1
咬,yǎo,口,9,火,3
咳,"hāi,ké",口,9,木,2
咪,mī,口,9,水,1
哪,"nǎ,na,nǎi,né,něi",口,9,火,3
哟,"yō,yo",口,9,木,5
炭,tàn,山,9,火,4
峡,xiá,山,9,土,2
罚,fá,罒,9,金,2
贱,jiàn,贝,9,木,4
贴,tiē,贝,9,火,1
贻,yí,贝,9,土,2
骨,"gǔ,gū",骨,9,木,2
幽,yōu,山,9,土,1
钙,gài,钅,9,金,4
钝,dùn,钅,9,金,4
钞,chāo,钅,9,金,1
钟,zhōng,钅,9,金,1
钢,"gāng,gàng",钅,9,金,1
钠,nà,钅,9,金,4
钥,"yuè,yào",钅,9,金,4
钦,qīn,钅,9,金,1
钧,jūn,钅,9,金,1
钩,gōu,钅,9,金,1
钮,niǔ,钅,9,金,3
卸,xiè,卩,9,水,4
缸,gāng,缶,9,木,1
拜,"bài,bái",手,9,水,4
看,"kàn,kān",手、目,9,木,4
矩,jǔ,矢,9,木,3
毡,zhān,毛,9,金,1
氢,qīng,气,9,金,1
怎,zěn,心,9,金,3
牲,shēng,牜,9,金,1
选,xuǎn,辶,9,金,3
适,"shì,kuò",辶,9,火,4
秒,miǎo,禾,9,水,3
香,xiāng,香,9,水,1
种,"zhǒng,zhòng,chóng",禾,9,火,3
秋,qiū,禾,9,金,1
科,kē,禾,9,木,1
重,"zhòng,chóng",丿,9,火,4
复,fù,夂,9,水,4
竿,gān,竹,9,木,1
段,duàn,殳,9,火,4
便,"biàn,pián",亻,9,水,4
俩,"liǎ,liǎng",亻,9,火,3
贷,dài,贝,9,火,4
顺,shùn,页,9,金,4
修,xiū,亻,9,金,1
俏,"qiào,xiào",亻,9,木,4
保,bǎo,亻,9,水,3
促,cù,亻,9,金,4
俄,é,亻,9,木,2
俐,lì,亻,9,火,4
侮,wǔ,亻,9,土,3
俭,jiǎn,亻,9,木,3
俗,sú,亻,9,金,2
俘,fú,亻,9,水,2
信,"xìn,shēn",亻,9,金,4
皇,huáng,白,9,水,2
泉,quán,白,9,水,2
鬼,guǐ,鬼,9,木,3
侵,qīn,亻,9,金,1
禹,yǔ,丿,9,土,3
侯,"hòu,hóu",亻,9,水,4
追,"zhuī,duī",辶,9,火,1
俊,jùn,亻,9,火,4
盾,dùn,⺁,9,火,4
待,"dài,dāi",彳,9,火,4
徊,huái,彳,9,水,2
衍,yǎn,彳,9,水,3
律,lǜ,彳,9,火,4
很,hěn,彳,9,水,3
须,xū,彡,9,金,1
叙,xù,又,9,金,4
剑,jiàn,刂,9,金,4
逃,táo,辶,9,火,2
食,"shí,sì,yì",食,9,金,2
盆,pén,八,9,土,2
胚,pēi,月,9,水,1
胧,lóng,月,9,火,2
胆,dǎn,月,9,火,3
胜,"shèng,shēng",月,9,金,4
胞,bāo,月,9,水,1
胖,"pàng,pán,pàn",月,9,水,4
脉,"mài,mò",月,9,水,4
胎,tāi,月,9,火,1
勉,miǎn,力,9,水,3
狭,xiá,犭,9,木,2
狮,shī,犭,9,金,1
独,dú,犭,9,金,2
狰,zhēng,犭,9,金,1
狡,jiǎo,犭,9,木,3
狱,yù,犭,9,木,4
狠,hěn,犭,9,水,3
贸,mào,贝,9,水,4
怨,yuàn,心,9,火,4
急,jí,心,9,木,2
饵,ěr,饣,9,火,3
饶,ráo,饣,9,木,2
蚀,shí,饣,9,金,2
饺,jiǎo,饣,9,木,3
饼,bǐng,饣,9,水,3
峦,luán,山,9,土,2
弯,wān,弓,9,火,1
将,"jiāng,jiàng,qiāng",丬,9,火,1
奖,jiǎng,大,9,火,3
哀,āi,亠,9,土,1
亭,tíng,亠,9,火,2
亮,liàng,亠,9,火,4
度,"dù,duó",广,9,金,4
迹,jì,辶,9,火,1
庭,tíng,广,9,火,2
疮,chuāng,疒,9,金,1
疯,fēng,疒,9,水,1
疫,yì,疒,9,木,4
疤,bā,疒,9,水,1
咨,zī,口,9,金,1
姿,zī,女,9,金,1
亲,"qīn,qìng",立,9,木,1
音,yīn,音,9,土,1
帝,dì,巾,9,火,4
施,shī,方,9,金,1
闺,guī,门,9,土,1
闻,wén,门,9,水,2
闽,mǐn,门,9,水,3
阀,fá,门,9,金,2
阁,gé,门,9,水,2
差,"chā,chà,chāi,chài,cī",⺶,9,金,1
养,yǎng,丷,9,土,3
美,měi,大,9,水,3
姜,jiāng,女,9,木,1
叛,pàn,又,9,水,4
送,sòng,辶,9,金,4
类,lèi,米,9,火,4
迷,mí,辶,9,水,2
籽,zǐ,米,9,火,3
娄,lóu,女,9,火,2
前,qián,丷,9,金,2
首,shǒu,首,9,金,3
逆,nì,辶,9,木,4
兹,"zī,cí",丷,9,金,1
总,zǒng,心,9,金,3
炼,liàn,火,9,火,4
炸,"zhà,zhá",火,9,火,4
烁,shuò,火,9,火,4
炮,"pào,páo,bāo",火,9,火,4
炫,xuàn,火,9,火,4
烂,làn,火,9,火,4
剃,tì,刂,9,金,4
洼,wā,氵,9,水,1
洁,jié,氵,9,水,2
洪,hóng,氵,9,水,2
洒,"sǎ,xǐ",氵,9,水,3
柒,qī,木,9,水,1
浇,jiāo,氵,9,水,1
浊,zhuó,氵,9,水,2
洞,"dòng,tóng",氵,9,水,4
测,cè,氵,9,水,4
洗,"xǐ,xiǎn",氵,9,水,3
活,huó,氵,9,水,2
派,pài,氵,9,水,4
洽,qià,氵,9,水,4
染,rǎn,木,9,水,3
洛,luò,氵,9,水,4
浏,liú,氵,9,水,2
济,"jì,jǐ",氵,9,水,4
洋,yáng,氵,9,水,2
洲,zhōu,氵,9,水,1
浑,hún,氵,9,水,2
浓,nóng,氵,9,水,2
津,jīn,氵,9,水,1
恃,shì,忄,9,火,4
恒,héng,忄,9,水,2
恢,huī,忄,9,木,1
恍,huǎng,忄,9,火,3
恬,tián,忄,9,火,2
恤,xù,忄,9,水,4
恰,qià,忄,9,木,4
恼,nǎo,忄,9,火,3
恨,hèn,忄,9,水,4
举,jǔ,丶,9,木,3
觉,"jué,jiào",见,9,木,2
宣,xuān,宀,9,金,1
宦,huàn,宀,9,水,4
室,shì,宀,9,金,4
宫,gōng,宀,9,金,1
宪,xiàn,宀,9,水,4
突,tū,穴,9,火,1
穿,chuān,穴,9,金,1
窃,qiè,穴,9,土,4
客,kè,宀,9,木,4
诫,jiè,讠,9,木,4
冠,"guān,guàn",冖,9,木,1
诬,wū,讠,9,土,1
语,"yǔ,yù",讠,9,木,3
扁,"biǎn,piān",户,9,水,3
袄,ǎo,衤,9,土,3
祖,zǔ,礻,9,金,3
神,shén,礻,9,金,2
祝,zhù,礻,9,火,4
祠,cí,礻,9,金,2
误,wù,讠,9,土,4
诱,yòu,讠,9,土,4
诲,huì,讠,9,水,4
说,"shuō,yuè,shuì",讠,9,金,1
诵,sòng,讠,9,金,4
垦,kěn,土,9,土,3
退,tuì,辶,9,火,4
既,jì,旡,9,木,4
屋,wū,尸,9,土,1
昼,zhòu,一,9,金,4
屏,"bīng,píng,bǐng",尸,9,水,2
费,fèi,贝,9,土,4
陡,dǒu,阝,9,火,3
逊,xùn,辶,9,金,4
眉,méi,目,9,水,2
孩,hái,子,9,水,2
陨,yǔn,阝,9,土,3
除,chú,阝,9,火,2
险,xiǎn,阝,9,金,3
院,yuàn,阝,9,土,4
娃,wá,女,9,土,2
姥,"lǎo,mǔ",女,9,水,3
姨,yí,女,9,土,2
姻,yīn,女,9,土,1
娇,jiāo,女,9,木,1
姚,yáo,女,9,土,2
娜,"nà,nuó",女,9,火,4
怒,nù,心,9,火,4
架,jià,木,9,木,4
贺,hè,贝,9,水,4
盈,yíng,皿,9,水,2
勇,yǒng,力,9,土,3
怠,dài,心,9,火,4
癸,guǐ,癶,9,水,3
蚤,zǎo,虫,9,金,3
柔,róu,矛,9,金,2
垒,lěi,土,9,土,3
绑,bǎng,纟,9,水,3
绒,róng,纟,9,金,2
结,"jié,jiē",纟,9,木,2
绕,rào,纟,9,木,3
骄,jiāo,马,9,木,1
绘,huì,纟,9,水,4
给,"gěi,jǐ",纟,9,木,3
绚,xuàn,纟,9,金,4
骆,luò,马,9,火,4
络,"luò,lào",纟,9,木,4
绝,jué,纟,9,金,2
绞,jiǎo,纟,9,木,3
骇,hài,马,9,水,4
统,tǒng,纟,9,木,3
耕,gēng,耒,10,木,1
耘,yún,耒,10,水,2
耗,hào,耒,10,水,4
耙,"pá,bà",耒,10,木,2
艳,yàn,色,10,土,4
泰,tài,氺,10,火,4
秦,qín,禾,10,火,2
珠,zhū,王,10,金,1
班,bān,王,10,水,1
素,sù,糸,10,金,4
匿,nì,匚,10,木,4
蚕,cán,虫,10,金,2
顽,wán,页,10,火,2
盏,zhǎn,皿,10,火,3
匪,fěi,匚,10,水,3
捞,lāo,扌,10,火,1
栽,zāi,木,10,金,1
捕,bǔ,扌,10,水,3
埂,gěng,土,10,土,3
捂,"wǔ,wú",扌,10,土,3
振,zhèn,扌,10,火,4
载,"zǎi,zài",车,10,金,3
赶,gǎn,走,10,木,3
起,qǐ,走,10,木,3
盐,yán,皿,10,土,2
捎,"shāo,shào",扌,10,金,1
捍,hàn,扌,10,木,4
捏,niē,扌,10,金,1
埋,"mái,mán",土,10,土,2
捉,zhuō,扌,10,火,1
捆,kǔn,扌,10,木,3
捐,juān,扌,10,木,1
损,sǔn,扌,10,金,3
袁,yuán,土,10,土,2
捌,bā,扌,10,水,1
都,"dōu,dū",阝,10,火,1
哲,zhé,口,10,火,2
逝,shì,辶,10,金,4
捡,jiǎn,扌,10,木,3
挫,cuò,扌,10,金,4
换,huàn,扌,10,水,4
