surname,pinyin,plain_pinyin,baijiaxing_index,aliases
惠,huì,hui,204,
甄,zhēn,zhen,205,
曲,qū,qu,206,
家,jiā,jia,207,
封,fēng,feng,208,
芮,ruì,rui,209,
羿,yì,yi,210,
储,chǔ,chu,211,
靳,jìn,jin,212,
汲,jí,ji,213,
邴,bǐng,bing,214,
糜,mí,mi,215,
松,sōng,song,216,
井,jǐng,jing,217,
段,duàn,duan,218,"toon"
富,fù,fu,219,
巫,wū,wu,220,
乌,wū,wu,221,
焦,jiāo,jiao,222,
巴,bā,ba,223,
弓,gōng,gong,224,
牧,mù,mu,225,
隗,kuí,kui,226,
山,shān,shan,227,
谷,gǔ,gu,228,
车,chē,che,229,
侯,hóu,hou,230,"hau,hoo"
宓,mì,mi,231,
蓬,péng,peng,232,
全,quán,quan,233,
郗,xī,xi,234,
班,bān,ban,235,
仰,yǎng,yang,236,
秋,qiū,qiu,237,
仲,zhòng,zhong,238,
伊,yī,yi,239,
宫,gōng,gong,240,
宁,nìng,ning,241,
仇,qiú,qiu,242,
栾,luán,luan,243,
暴,bào,bao,244,
甘,gān,gan,245,
钭,tǒu,tou,246,
厉,lì,li,247,
戎,róng,rong,248,
祖,zǔ,zu,249,
武,wǔ,wu,250,"mo,bu"
符,fú,fu,251,
刘,liú,liu,252,"lau,low"
景,jǐng,jing,253,
詹,zhān,zhan,254,
束,shù,shu,255,
龙,lóng,long,256,"lung,loong"
叶,yè,ye,257,"yip,yap,ip"
幸,xìng,xing,258,
司,sī,si,259,
韶,sháo,shao,260,
郜,gào,gao,261,
黎,lí,li,262,"lai"
蓟,jì,ji,263,
薄,bó,bo,264,
印,yìn,yin,265,
宿,sù,su,266,
白,bái,bai,267,"pek,pak"
怀,huái,huai,268,
蒲,pú,pu,269,
邰,tái,tai,270,
从,cóng,cong,271,
鄂,è,e,272,
索,suǒ,suo,273,
咸,xián,xian,274,
籍,jí,ji,275,
赖,lài,lai,276,
卓,zhuó,zhuo,277,
蔺,lìn,lin,278,
屠,tú,tu,279,
蒙,méng,meng,280,
池,chí,chi,281,
乔,qiáo,qiao,282,
阴,yīn,yin,283,
郁,yù,yu,284,
胥,xū,xu,285,
能,nài,nai,286,
苍,cāng,cang,287,
双,shuāng,shuang,288,
闻,wén,wen,289,
莘,shēn,shen,290,
党,dǎng,dang,291,
翟,zhái,zhai,292,
谭,tán,tan,293,"tam"
贡,gòng,gong,294,
劳,láo,lao,295,
逄,páng,pang,296,
姬,jī,ji,297,
申,shēn,shen,298,
扶,fú,fu,299,
堵,dǔ,du,300,
冉,rǎn,ran,301,
宰,zǎi,zai,302,
郦,lì,li,303,
雍,yōng,yong,304,
郤,xì,xi,305,
璩,qú,qu,306,
桑,sāng,sang,307,
桂,guì,gui,308,
濮,pú,pu,309,
牛,niú,niu,310,
寿,shòu,shou,311,
通,tōng,tong,312,
边,biān,bian,313,
扈,hù,hu,314,
燕,yān,yan,315,
冀,jì,ji,316,
郏,jiá,jia,317,
浦,pǔ,pu,318,
尚,shàng,shang,319,
农,nóng,nong,320,
温,wēn,wen,321,
别,bié,bie,322,
庄,zhuāng,zhuang,323,
晏,yàn,yan,324,
柴,chái,chai,325,
瞿,qú,qu,326,
阎,yán,yan,327,
充,chōng,chong,328,
慕,mù,mu,329,
连,lián,lian,330,
茹,rú,ru,331,
习,xí,xi,332,
宦,huàn,huan,333,
艾,ài,ai,334,
鱼,yú,yu,335,
容,róng,rong,336,
向,xiàng,xiang,337,
古,gǔ,gu,338,
易,yì,yi,339,
慎,shèn,shen,340,
戈,gē,ge,341,
廖,liào,liao,342,"liu"
庾,yǔ,yu,343,
终,zhōng,zhong,344,
暨,jì,ji,345,
居,jū,ju,346,
衡,héng,heng,347,
步,bù,bu,348,
都,dū,du,349,
耿,gěng,geng,350,
满,mǎn,man,351,
弘,hóng,hong,352,
匡,kuāng,kuang,353,
国,guó,guo,354,
文,wén,wen,355,
寇,kòu,kou,356,
广,guǎng,guang,357,
禄,lù,lu,358,
阙,quē,que,359,
东,dōng,dong,360,
欧,ōu,ou,361,
殳,shū,shu,362,
沃,wò,wo,363,
利,lì,li,364,
蔚,wèi,wei,365,
越,yuè,yue,366,
夔,kuí,kui,367,
隆,lóng,long,368,
师,shī,shi,369,
巩,gǒng,gong,370,
厍,shè,she,371,
聂,niè,nie,372,
晁,cháo,chao,373,
勾,gōu,gou,374,
敖,áo,ao,375,
融,róng,rong,376,
冷,lěng,leng,377,
訾,zǐ,zi,378,
